AircraftID,PlaneModel,AirlineName
1,Boeing 737-700,Air France
2,Boeing 737-700,Air France
3,Boeing 737-700,Air France
4,Boeing 737-700,Air France
5,Boeing 737-700,Air France
6,Boeing 737-700,Air France
7,Boeing 737-700,Air France
8,Boeing 737-700,Air France
9,Boeing 737-700,Air France
10,Boeing 737-700,Air France
11,Boeing 737-700,Emirates
12,Boeing 737-700,Emirates
13,Boeing 737-700,Emirates
14,Boeing 737-700,Emirates
15,Boeing 737-700,Emirates
16,Boeing 737-700,Emirates
17,Boeing 737-700,Emirates
18,Boeing 737-700,Emirates
19,Boeing 737-700,Emirates
20,Boeing 737-700,Emirates
21,Boeing 737-700,Delta
22,Boeing 737-700,Delta
23,Boeing 737-700,Delta
24,Boeing 737-700,Delta
25,Boeing 737-700,Delta
26,Boeing 737-700,Delta
27,Boeing 737-700,Delta
28,Boeing 737-700,Delta
29,Boeing 737-700,Delta
30,Boeing 737-700,Delta
31,Boeing 737-700,American Airlines
32,Boeing 737-700,American Airlines
33,Boeing 737-700,American Airlines
34,Boeing 737-700,American Airlines
35,Boeing 737-700,American Airlines
36,Boeing 737-700,American Airlines
37,Boeing 737-700,American Airlines
38,Boeing 737-700,American Airlines
39,Boeing 737-700,American Airlines
40,Boeing 737-700,American Airlines
41,Boeing 737-700,Air China
42,Boeing 737-700,Air China
43,Boeing 737-700,Air China
44,Boeing 737-700,Air China
45,Boeing 737-700,Air China
46,Boeing 737-700,Air China
47,Boeing 737-700,Air China
48,Boeing 737-700,Air China
49,Boeing 737-700,Air China
50,Boeing 737-700,Air China
51,Airbus A320-200,Air France
52,Airbus A320-200,Air France
53,Airbus A320-200,Air France
54,Airbus A320-200,Air France
55,Airbus A320-200,Air France
56,Airbus A320-200,Air France
57,Airbus A320-200,Air France
58,Airbus A320-200,Air France
59,Airbus A320-200,Air France
60,Airbus A320-200,Air France
61,Airbus A320-200,Emirates
62,Airbus A320-200,Emirates
63,Airbus A320-200,Emirates
64,Airbus A320-200,Emirates
65,Airbus A320-200,Emirates
66,Airbus A320-200,Emirates
67,Airbus A320-200,Emirates
68,Airbus A320-200,Emirates
69,Airbus A320-200,Emirates
70,Airbus A320-200,Emirates
71,Airbus A320-200,Delta
72,Airbus A320-200,Delta
73,Airbus A320-200,Delta
74,Airbus A320-200,Delta
75,Airbus A320-200,Delta
76,Airbus A320-200,Delta
77,Airbus A320-200,Delta
78,Airbus A320-200,Delta
79,Airbus A320-200,Delta
80,Airbus A320-200,Delta
81,Airbus A320-200,American Airlines
82,Airbus A320-200,American Airlines
83,Airbus A320-200,American Airlines
84,Airbus A320-200,American Airlines
85,Airbus A320-200,American Airlines
86,Airbus A320-200,American Airlines
87,Airbus A320-200,American Airlines
88,Airbus A320-200,American Airlines
89,Airbus A320-200,American Airlines
90,Airbus A320-200,American Airlines
91,Airbus A320-200,Air China
92,Airbus A320-200,Air China
93,Airbus A320-200,Air China
94,Airbus A320-200,Air China
95,Airbus A320-200,Air China
96,Airbus A320-200,Air China
97,Airbus A320-200,Air China
98,Airbus A320-200,Air China
99,Airbus A320-200,Air China
100,Airbus A320-200,Air China
