AircraftID,SeatNum,Class
1,1A,Business
1,1B,Business
1,1C,Business
1,1D,Business
1,2A,Business
1,2B,Business
1,2C,Business
1,2D,Business
1,3A,Economy
1,3B,Economy
1,3C,Economy
1,3D,Economy
1,3E,Economy
1,4F,Economy
1,4A,Economy
1,4B,Economy
1,4C,Economy
1,4D,Economy
1,4E,Economy
1,5F,Economy
1,5A,Economy
1,5B,Economy
1,5C,Economy
1,5D,Economy
1,5E,Economy
1,6F,Economy
1,6A,Economy
1,6B,Economy
1,6C,Economy
1,6D,Economy
1,6E,Economy
1,7F,Economy
1,7A,Economy
1,7B,Economy
1,7C,Economy
1,7D,Economy
1,7E,Economy
1,8F,Economy
1,8A,Economy
1,8B,Economy
1,8C,Economy
1,8D,Economy
1,9A,Economy
1,9B,Economy
1,9C,Economy
1,9D,Economy
1,9E,Economy
1,10F,Economy
1,10A,Economy
1,10B,Economy
1,10C,Economy
1,10D,Economy
1,10E,Economy
1,11F,Economy
1,11A,Economy
1,11B,Economy
1,11C,Economy
1,11D,Economy
1,11E,Economy
1,12F,Economy
1,12A,Economy
1,12B,Economy
1,12C,Economy
1,12D,Economy
1,12E,Economy
1,13F,Economy
1,13A,Economy
1,13B,Economy
1,13C,Economy
1,13D,Economy
1,13E,Economy
1,14F,Economy
1,14A,Economy
1,14B,Economy
1,14C,Economy
1,14D,Economy
1,14E,Economy
1,15F,Economy
1,15A,Economy
1,15B,Economy
1,15C,Economy
1,15D,Economy
1,15E,Economy
1,16F,Economy
1,16A,Economy
1,16B,Economy
1,16C,Economy
1,16D,Economy
1,16E,Economy
1,17F,Economy
1,17A,Economy
1,17B,Economy
1,17C,Economy
1,17D,Economy
1,17E,Economy
1,18F,Economy
1,18A,Economy
1,18B,Economy
1,18C,Economy
1,18D,Economy
1,18E,Economy
1,19F,Economy
1,19A,Economy
1,19B,Economy
1,19C,Economy
1,19D,Economy
1,19E,Economy
1,20F,Economy
1,20A,Economy
1,20B,Economy
1,20C,Economy
1,20D,Economy
1,20E,Economy
1,21F,Economy
1,21A,Economy
1,21B,Economy
1,21C,Economy
1,21D,Economy
1,21E,Economy
1,22F,Economy
1,22A,Economy
1,22B,Economy
1,22C,Economy
1,22D,Economy
1,22E,Economy
1,23F,Economy
2,1A,Business
2,1B,Business
2,1C,Business
2,1D,Business
2,2A,Business
2,2B,Business
2,2C,Business
2,2D,Business
2,3A,Economy
2,3B,Economy
2,3C,Economy
2,3D,Economy
2,3E,Economy
2,4F,Economy
2,4A,Economy
2,4B,Economy
2,4C,Economy
2,4D,Economy
2,4E,Economy
2,5F,Economy
2,5A,Economy
2,5B,Economy
2,5C,Economy
2,5D,Economy
2,5E,Economy
2,6F,Economy
2,6A,Economy
2,6B,Economy
2,6C,Economy
2,6D,Economy
2,6E,Economy
2,7F,Economy
2,7A,Economy
2,7B,Economy
2,7C,Economy
2,7D,Economy
2,7E,Economy
2,8F,Economy
2,8A,Economy
2,8B,Economy
2,8C,Economy
2,8D,Economy
2,9A,Economy
2,9B,Economy
2,9C,Economy
2,9D,Economy
2,9E,Economy
2,10F,Economy
2,10A,Economy
2,10B,Economy
2,10C,Economy
2,10D,Economy
2,10E,Economy
2,11F,Economy
2,11A,Economy
2,11B,Economy
2,11C,Economy
2,11D,Economy
2,11E,Economy
2,12F,Economy
2,12A,Economy
2,12B,Economy
2,12C,Economy
2,12D,Economy
2,12E,Economy
2,13F,Economy
2,13A,Economy
2,13B,Economy
2,13C,Economy
2,13D,Economy
2,13E,Economy
2,14F,Economy
2,14A,Economy
2,14B,Economy
2,14C,Economy
2,14D,Economy
2,14E,Economy
2,15F,Economy
2,15A,Economy
2,15B,Economy
2,15C,Economy
2,15D,Economy
2,15E,Economy
2,16F,Economy
2,16A,Economy
2,16B,Economy
2,16C,Economy
2,16D,Economy
2,16E,Economy
2,17F,Economy
2,17A,Economy
2,17B,Economy
2,17C,Economy
2,17D,Economy
2,17E,Economy
2,18F,Economy
2,18A,Economy
2,18B,Economy
2,18C,Economy
2,18D,Economy
2,18E,Economy
2,19F,Economy
2,19A,Economy
2,19B,Economy
2,19C,Economy
2,19D,Economy
2,19E,Economy
2,20F,Economy
2,20A,Economy
2,20B,Economy
2,20C,Economy
2,20D,Economy
2,20E,Economy
2,21F,Economy
2,21A,Economy
2,21B,Economy
2,21C,Economy
2,21D,Economy
2,21E,Economy
2,22F,Economy
2,22A,Economy
2,22B,Economy
2,22C,Economy
2,22D,Economy
2,22E,Economy
2,23F,Economy
3,1A,Business
3,1B,Business
3,1C,Business
3,1D,Business
3,2A,Business
3,2B,Business
3,2C,Business
3,2D,Business
3,3A,Economy
3,3B,Economy
3,3C,Economy
3,3D,Economy
3,3E,Economy
3,4F,Economy
3,4A,Economy
3,4B,Economy
3,4C,Economy
3,4D,Economy
3,4E,Economy
3,5F,Economy
3,5A,Economy
3,5B,Economy
3,5C,Economy
3,5D,Economy
3,5E,Economy
3,6F,Economy
3,6A,Economy
3,6B,Economy
3,6C,Economy
3,6D,Economy
3,6E,Economy
3,7F,Economy
3,7A,Economy
3,7B,Economy
3,7C,Economy
3,7D,Economy
3,7E,Economy
3,8F,Economy
3,8A,Economy
3,8B,Economy
3,8C,Economy
3,8D,Economy
3,9A,Economy
3,9B,Economy
3,9C,Economy
3,9D,Economy
3,9E,Economy
3,10F,Economy
3,10A,Economy
3,10B,Economy
3,10C,Economy
3,10D,Economy
3,10E,Economy
3,11F,Economy
3,11A,Economy
3,11B,Economy
3,11C,Economy
3,11D,Economy
3,11E,Economy
3,12F,Economy
3,12A,Economy
3,12B,Economy
3,12C,Economy
3,12D,Economy
3,12E,Economy
3,13F,Economy
3,13A,Economy
3,13B,Economy
3,13C,Economy
3,13D,Economy
3,13E,Economy
3,14F,Economy
3,14A,Economy
3,14B,Economy
3,14C,Economy
3,14D,Economy
3,14E,Economy
3,15F,Economy
3,15A,Economy
3,15B,Economy
3,15C,Economy
3,15D,Economy
3,15E,Economy
3,16F,Economy
3,16A,Economy
3,16B,Economy
3,16C,Economy
3,16D,Economy
3,16E,Economy
3,17F,Economy
3,17A,Economy
3,17B,Economy
3,17C,Economy
3,17D,Economy
3,17E,Economy
3,18F,Economy
3,18A,Economy
3,18B,Economy
3,18C,Economy
3,18D,Economy
3,18E,Economy
3,19F,Economy
3,19A,Economy
3,19B,Economy
3,19C,Economy
3,19D,Economy
3,19E,Economy
3,20F,Economy
3,20A,Economy
3,20B,Economy
3,20C,Economy
3,20D,Economy
3,20E,Economy
3,21F,Economy
3,21A,Economy
3,21B,Economy
3,21C,Economy
3,21D,Economy
3,21E,Economy
3,22F,Economy
3,22A,Economy
3,22B,Economy
3,22C,Economy
3,22D,Economy
3,22E,Economy
3,23F,Economy
4,1A,Business
4,1B,Business
4,1C,Business
4,1D,Business
4,2A,Business
4,2B,Business
4,2C,Business
4,2D,Business
4,3A,Economy
4,3B,Economy
4,3C,Economy
4,3D,Economy
4,3E,Economy
4,4F,Economy
4,4A,Economy
4,4B,Economy
4,4C,Economy
4,4D,Economy
4,4E,Economy
4,5F,Economy
4,5A,Economy
4,5B,Economy
4,5C,Economy
4,5D,Economy
4,5E,Economy
4,6F,Economy
4,6A,Economy
4,6B,Economy
4,6C,Economy
4,6D,Economy
4,6E,Economy
4,7F,Economy
4,7A,Economy
4,7B,Economy
4,7C,Economy
4,7D,Economy
4,7E,Economy
4,8F,Economy
4,8A,Economy
4,8B,Economy
4,8C,Economy
4,8D,Economy
4,9A,Economy
4,9B,Economy
4,9C,Economy
4,9D,Economy
4,9E,Economy
4,10F,Economy
4,10A,Economy
4,10B,Economy
4,10C,Economy
4,10D,Economy
4,10E,Economy
4,11F,Economy
4,11A,Economy
4,11B,Economy
4,11C,Economy
4,11D,Economy
4,11E,Economy
4,12F,Economy
4,12A,Economy
4,12B,Economy
4,12C,Economy
4,12D,Economy
4,12E,Economy
4,13F,Economy
4,13A,Economy
4,13B,Economy
4,13C,Economy
4,13D,Economy
4,13E,Economy
4,14F,Economy
4,14A,Economy
4,14B,Economy
4,14C,Economy
4,14D,Economy
4,14E,Economy
4,15F,Economy
4,15A,Economy
4,15B,Economy
4,15C,Economy
4,15D,Economy
4,15E,Economy
4,16F,Economy
4,16A,Economy
4,16B,Economy
4,16C,Economy
4,16D,Economy
4,16E,Economy
4,17F,Economy
4,17A,Economy
4,17B,Economy
4,17C,Economy
4,17D,Economy
4,17E,Economy
4,18F,Economy
4,18A,Economy
4,18B,Economy
4,18C,Economy
4,18D,Economy
4,18E,Economy
4,19F,Economy
4,19A,Economy
4,19B,Economy
4,19C,Economy
4,19D,Economy
4,19E,Economy
4,20F,Economy
4,20A,Economy
4,20B,Economy
4,20C,Economy
4,20D,Economy
4,20E,Economy
4,21F,Economy
4,21A,Economy
4,21B,Economy
4,21C,Economy
4,21D,Economy
4,21E,Economy
4,22F,Economy
4,22A,Economy
4,22B,Economy
4,22C,Economy
4,22D,Economy
4,22E,Economy
4,23F,Economy
5,1A,Business
5,1B,Business
5,1C,Business
5,1D,Business
5,2A,Business
5,2B,Business
5,2C,Business
5,2D,Business
5,3A,Economy
5,3B,Economy
5,3C,Economy
5,3D,Economy
5,3E,Economy
5,4F,Economy
5,4A,Economy
5,4B,Economy
5,4C,Economy
5,4D,Economy
5,4E,Economy
5,5F,Economy
5,5A,Economy
5,5B,Economy
5,5C,Economy
5,5D,Economy
5,5E,Economy
5,6F,Economy
5,6A,Economy
5,6B,Economy
5,6C,Economy
5,6D,Economy
5,6E,Economy
5,7F,Economy
5,7A,Economy
5,7B,Economy
5,7C,Economy
5,7D,Economy
5,7E,Economy
5,8F,Economy
5,8A,Economy
5,8B,Economy
5,8C,Economy
5,8D,Economy
5,9A,Economy
5,9B,Economy
5,9C,Economy
5,9D,Economy
5,9E,Economy
5,10F,Economy
5,10A,Economy
5,10B,Economy
5,10C,Economy
5,10D,Economy
5,10E,Economy
5,11F,Economy
5,11A,Economy
5,11B,Economy
5,11C,Economy
5,11D,Economy
